component,import_name,pip_package,import_version,pip_version
backend/frontend,fastapi,fastapi,0.116.1,0.116.1
backend/frontend,uvicorn,uvicorn,0.35.0,0.35.0
backend/frontend,pydantic,pydantic,2.11.7,2.11.7
backend/frontend,pandas,pandas,2.2.3,2.2.3
backend/frontend,joblib,joblib,1.5.1,1.5.1
backend/frontend,sklearn,scikit-learn,1.6.1,1.6.1
backend/frontend,numpy,numpy,2.2.5,2.2.5
backend/frontend,streamlit,streamlit,1.48.1,1.48.1
backend/frontend,requests,requests,2.32.3,2.32.3
backend/frontend,matplotlib,matplotlib,3.10.5,3.10.5
backend/frontend,google.colab,google-colab,No importable,No instalado
